Sample,Station ,Cast,Depth ,Filter ,OxygenConc.,Oxygen,Oxygen2,Filter2,Salinity,Temperture,Nitrate
s5_Stn1Cast1840m02um,Stn1,18,40,0.2,3,199,2.298853076,1,33.7867,27.9427,0.18865526
s5_Stn1Cast1840m22um,Stn1,18,40,22,3,199,2.298853076,3,33.7867,27.9427,0.18865526
s5_Stn1Cast1840m2um,Stn1,18,40,2,3,199,2.298853076,2,33.7867,27.9427,0.18865526
s4_Stn1Cast1470m02um,Stn1,14,70,0.2,3,17.357,1.239474663,1,34.6098,17.9214,18.73363904
s4_Stn1Cast1470m22um,Stn1,14,70,22,3,17.357,1.239474663,3,34.6098,17.9214,18.73363904
s4_Stn1Cast1470m2um,Stn1,14,70,2,3,17.357,1.239474663,2,34.6098,17.9214,18.73363904
s3_Stn1Cast683m02um,Stn1,6,83,0.2,1,0.26,-0.585026652,1,34.714,15.5559,29.50687358
s3_Stn1Cast683m22um,Stn1,6,83,22,1,0.26,-0.585026652,3,34.714,15.5559,29.50687358
s3_Stn1Cast683m2um,Stn1,6,83,2,1,0.26,-0.585026652,2,34.714,15.5559,29.50687358
s2_Stn1Cast14110m02um,Stn1,14,110,0.2,1,-0.33,0,1,34.7803,13.5411,29.9025073
s2_Stn1Cast14110m22um,Stn1,14,110,22,1,-0.33,0,3,34.7803,13.5411,29.9025073
s2_Stn1Cast14110m2um,Stn1,14,110,2,1,-0.33,0,2,34.7803,13.5411,29.9025073
s1_Stn1Cast6120m02um,Stn1,6,120,0.2,1,0.34,-0.468521083,1,34.8018,12.8816,30.74610301
s1_Stn1Cast6120m22um,Stn1,6,120,22,1,0.34,-0.468521083,3,34.8018,12.8816,30.74610301
s1_Stn1Cast6120m2um,Stn1,6,120,2,1,0.34,-0.468521083,2,34.8018,12.8816,30.74610301
s5_Stn2Cast5930m02um,Stn2,59,30,0.2,3,204,2.309630167,1,33.984,27.3433,0.04344845
s5_Stn2Cast5930m22um,Stn2,59,30,22,3,204,2.309630167,3,33.984,27.3433,0.04344845
s5_Stn2Cast5930m2um,Stn2,59,30,2,3,204,2.309630167,2,33.984,27.3433,0.04344845
s4_Stn2Cast3190m02um,Stn2,31,90,0.2,2,4,0.602059991,1,34.6375,16.6882,26.64789895
s4_Stn2Cast3190m22um,Stn2,31,90,22,2,4,0.602059991,3,34.6375,16.6882,26.64789895
s4_Stn2Cast3190m2um,Stn2,31,90,2,2,4,0.602059991,2,34.6375,16.6882,26.64789895
s3_Stn2Cast47113m02um,Stn2,47,113,0.2,1,0.237,-0.625251654,1,34.7163,15.3675,27.12785582
s3_Stn2Cast47113m22um,Stn2,47,113,22,1,0.237,-0.625251654,3,34.7163,15.3675,27.12785582
s3_Stn2Cast47113m2um,Stn2,47,113,2,1,0.237,-0.625251654,2,34.7163,15.3675,27.12785582
s2_Stn2Cast55120m02um,Stn2,55,120,0.2,1,-0.73,0,1,34.7577,13.6934,27.27729686
s2_Stn2Cast55120m22um,Stn2,55,120,22,1,-0.73,0,3,34.7577,13.6934,27.27729686
s2_Stn2Cast55120m2um,Stn2,55,120,2,1,-0.73,0,2,34.7577,13.6934,27.27729686
s1_Stn2Cast59900m02um,Stn2,59,900,0.2,2,2.019,0.305136319,1,34.5419,5.0259,45.88333307
s1_Stn2Cast59900m22um,Stn2,59,900,22,2,2.019,0.305136319,3,34.5419,5.0259,45.88333307
s1_Stn2Cast59900m2um,Stn2,59,900,2,2,2.019,0.305136319,2,34.5419,5.0259,45.88333307
s6_Stn3Cast9310m02um,Stn3,93,10,0.2,3,200,2.301029996,1,34.6155,26.9057,3.87461777
s6_Stn3Cast9310m22um,Stn3,93,10,22,3,200,2.301029996,3,34.6155,26.9057,3.874618
s6_Stn3Cast9310m2um,Stn3,93,10,2,3,200,2.301029996,2,34.6155,26.9057,3.874618
s5_Stn3Cast7633m02um,Stn3,76,33,0.2,2,1.288,0.109915863,1,34.6794,16.9269,25.91761903
s5_Stn3Cast7633m22um,Stn3,76,33,22,2,1.288,0.109915863,3,34.6794,16.9269,25.91761903
s5_Stn3Cast7633m2um,Stn3,76,33,2,2,1.288,0.109915863,2,34.6794,16.9269,25.91761903
s4_Stn3Cast9740m02um,Stn3,97,40,0.2,3,18.62,1.269979677,1,34.6141,18.172,24.98579316
s4_Stn3Cast9740m22um,Stn3,97,40,22,3,18.62,1.269979677,3,34.6141,18.172,24.98579316
s4_Stn3Cast9740m2um,Stn3,97,40,2,3,18.62,1.269979677,2,34.6141,18.172,24.98579316
s3_Stn3Cast7245m02um,Stn3,72,45,0.2,1,-0.445,0,1,34.7023,16.1866,24.64951422
s3_Stn3Cast7245m22um,Stn3,72,45,22,1,-0.445,0,3,34.7023,16.1866,24.64951422
s3_Stn3Cast7245m2um,Stn3,72,45,2,1,-0.445,0,2,34.7023,16.1866,24.64951422
s2_Stn3Cast9370m02um,Stn3,93,70,0.2,1,-0.714,0,1,34.7677,15.3996,25.77273705
s2_Stn3Cast9370m22um,Stn3,93,70,22,1,-0.714,0,3,34.7677,15.3996,25.77273705
s2_Stn3Cast9370m2um,Stn3,93,70,2,1,-0.714,0,2,34.7677,15.3996,25.77273705
s1_Stn3Cast811000m02um,Stn3,81,1000,0.2,3,8.616,0.93530569,1,34.5579,4.738,31.49601288
s1_Stn3Cast811000m22um,Stn3,81,1000,22,3,8.616,0.93530569,3,34.5579,4.738,31.49601288
s1_Stn3Cast811000m2um,Stn3,81,1000,2,3,8.616,0.93530569,2,34.5579,4.738,31.49601288
